ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND
161678931;517_185V_0.1;w185v-w189A/191v;S;0,000;0,001;2019-06-13;;;185;189A/191;WISSEL;WISSEL
161678933;950_913R_6.5;w913r-w931r;S;0,029;0,255;2019-06-13;;;913;931;WISSEL;WISSEL
161678934;133_1159AL_19.3;w1159Ale-w1159Bl;S;0,034;0,049;2019-06-13;;;1159A;1159B;WISSEL;WISSEL
161678935;135_2207R_14.8;s904-w2229v;S;0,491;0,548;2019-06-13;;;2226;2229;BED_SEIN;WISSEL
161679155;531_2677L_34.7;sAE3-sAE2;S;3,767;4,135;2019-06-13;;;4518;4501;BED_SEIN;BED_SEIN
161679156;531_2677L_34.7;sAE5-sAE4;S;2,446;2,640;2019-06-13;;;4528;4521;BED_SEIN;BED_SEIN
161679157;531_2677L_34.7;w2677l-sAE6;S;0,028;0,253;2019-06-13;;;2677;2604;WISSEL;BED_SEIN
161679158;940_361AR_43.1;w361Ar-w361Br;S;0,028;0,050;2019-06-13;;;361A;361B;WISSEL;WISSEL
161679159;011_68BR_69.0;w68A/68Bv-w75l;S;0,017;0,023;2019-06-13;;;68A/68B;75;WISSEL;WISSEL
161679160;032_7R_16.0;s1-w9273r;S;0,278;0,332;2019-06-13;;;;9273;STOP_BD;WISSEL
161679161;032_7R_16.0;w7r-s1;S;0,029;0,076;2019-06-13;;;7;6;WISSEL;BED_SEIN
161679162;085_213AL_19.7;w213Al-s73;S;0,028;0,058;2019-06-13;;;213A;222;WISSEL;BED_SEIN
161679163;161_2701R_35.3;w2701r-w2707l;S;0,048;0,210;2019-06-13;;;2701;2707;WISSEL;WISSEL
161679164;603_177R_3.9;w177r-w183Bl;S;0,048;0,159;2019-06-13;;;177;183B;WISSEL;WISSEL
161679166;927_3075BL_905.5;w3081/3075Bv-w3077Ar;S;0,016;0,025;2019-06-13;;;3081/3075B;3077A;WISSEL;WISSEL
