SPOORTAK_IDENTIFICATIE;TRAJECT;TRJ_VAN;TRJ_NAAR;SPOORLIJNNAAM;N_SP_VAN;N_SP_NAAR;RICHTING_IN_SPOORLIJN;SPOORLIJN_VAN;SPOORLIJN_TOT;SPOORTAK_VAN;SPOORTAK_TOT;BEGIN_TRJ;EIND_TRJ;BEGIN_WISSEL_TRJ
503_171AL_42.3;;;;;;;;;;;;;;
478_1591L_1.9;;;;;;;;;;;;;;
603_157L_3.5;;;;;;;;;;;;;;
620_35AR_41.8;;;;;;;;;;;;;;
664_143BpV_43.2;;;;;;;;;;;;;;
950_811L_41.7;;;;;;;;;;;;;;
478_1033L_0.4;;;;;;;;;;;;;;
606_51BR_0.1;;;;;;;;;;;;;;
545_936V_22.4;;;;;;;;;;;;;;
626_25BV_32.4;;;;;;;;;;;;;;
531_2667V_34.8;;;;;;;;;;;;;;
823_21AL_5.7;;;;;;;;;;;;;;
105_475AL_29.4;;;;;;;;;;;;;;
474_960L_101.5;;;;;;;;;;;;;;
531_2585qV_34.7;;;;;;;;;;;;;;
555_255BqV_83.5;;;;;;;;;;;;;;
105_139AR_31.4;;;;;;;;;;;;;;
603_85L_2.5;;;;;;;;;;;;;;
478_1167R_0.8;;;;;;;;;;;;;;
527_922L_500.8;;;;;;;;;;;;;;
508_2109R_91.5;;;;;;;;;;;;;;
950_331V_17.3;;;;;;;;;;;;;;
504_63AR_18.3;;;;;;;;;;;;;;
924_3583AL_35.8;;;;;;;;;;;;;;
555_525BL_83.2;;;;;;;;;;;;;;
478_1503V_0.9;;;;;;;;;;;;;;
531_831R_1.4;;;;;;;;;;;;;;
618_795V_50.4;;;;;;;;;;;;;;
132_459L_48.7;;;;;;;;;;;;;;
924_2351V_35.5;;;;;;;;;;;;;;
486_959R_74.9;;;;;;;;;;;;;;
603_4229R_2.2;;;;;;;;;;;;;;
508_829V_90.8;;;;;;;;;;;;;;
522_155R_57.4;;;;;;;;;;;;;;
536_327AR_61.9;;;;;;;;;;;;;;
478_1253BV_1.8;;;;;;;;;;;;;;
603_87BqV_2.7;;;;;;;;;;;;;;
013_233AR_88.4;;;;;;;;;;;;;;
506_121AL_44.1;;;;;;;;;;;;;;
087_1339L_25.1;;;;;;;;;;;;;;
521_351BL_22.2;;;;;;;;;;;;;;
486_100L_204.4;;;;;;;;;;;;;;
586_375R_81.2;;;;;;;;;;;;;;
542_501V_29.7;;;;;;;;;;;;;;
950_918R_6.5;;;;;;;;;;;;;;
801_916L_800.3;;;;;;;;;;;;;;
603_1001L_3.7;;;;;;;;;;;;;;
066_5V_26.4;;;;;;;;;;;;;;
085_28AL_36.2;;;;;;;;;;;;;;
526_15BL_4.2;;;;;;;;;;;;;;
506_560L_43.6;;;;;;;;;;;;;;
588_801R_1.6;;;;;;;;;;;;;;
508_833R_90.9;;;;;;;;;;;;;;
950_609R_6.3;;;;;;;;;;;;;;
550_87BV_25.8;;;;;;;;;;;;;;
950_383V_18.4;;;;;;;;;;;;;;
531_2785L_35.8;;;;;;;;;;;;;;
564_1335pV_23.6;;;;;;;;;;;;;;
